PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35122753","Responding to the opioid crisis in North America and beyond: recommendations of the Stanford-Lancet Commission","Humphreys K, Shover CL, Andrews CM, Bohnert ASB, Brandeau ML, Caulkins JP, Chen JH, Cuéllar MF, Hurd YL, Juurlink DN, Koh HK, Krebs EE, Lembke A, Mackey SC, Larrimore Ouellette L, Suffoletto B, Timko C.","Lancet. 2022 Feb 5;399(10324):555-604. doi: 10.1016/S0140-6736(21)02252-2. Epub 2022 Feb 2.","Humphreys K","Lancet","2022","2022/02/05","PMC9261968","NIHMS1818225","10.1016/S0140-6736(21)02252-2"
"29615459","Genetic Analysis of 779 Advanced Differentiated and Anaplastic Thyroid Cancers","Pozdeyev N, Gay LM, Sokol ES, Hartmaier R, Deaver KE, Davis S, French JD, Borre PV, LaBarbera DV, Tan AC, Schweppe RE, Fishbein L, Ross JS, Haugen BR, Bowles DW.","Clin Cancer Res. 2018 Jul 1;24(13):3059-3068. doi: 10.1158/1078-0432.CCR-18-0373. Epub 2018 Apr 3.","Pozdeyev N","Clin Cancer Res","2018","2018/04/05","PMC6030480","NIHMS956033","10.1158/1078-0432.CCR-18-0373"
"31011206","Molecular profiling of cancer patients enables personalized combination therapy: the I-PREDICT study","Sicklick JK, Kato S, Okamura R, Schwaederle M, Hahn ME, Williams CB, De P, Krie A, Piccioni DE, Miller VA, Ross JS, Benson A, Webster J, Stephens PJ, Lee JJ, Fanta PT, Lippman SM, Leyland-Jones B, Kurzrock R.","Nat Med. 2019 May;25(5):744-750. doi: 10.1038/s41591-019-0407-5. Epub 2019 Apr 22.","Sicklick JK","Nat Med","2019","2019/04/24","PMC6553618","NIHMS1522524","10.1038/s41591-019-0407-5"
"28723019","Wilson Disease","Chaudhry HS, Anilkumar AC.","2023 Aug 7. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–.","Chaudhry HSAnilkumar AC","StatPearls","2023","2023/08/07","","",""
"36700653","Virology under the Microscope-a Call for Rational Discourse","Goodrum F, Lowen AC, Lakdawala S, Alwine J, Casadevall A, Imperiale MJ, Atwood W, Avgousti D, Baines J, Banfield B, Banks L, Bhaduri-McIntosh S, Bhattacharya D, Blanco-Melo D, Bloom D, Boon A, Boulant S, Brandt C, Broadbent A, Brooke C, Cameron C, Campos S, Caposio P, Chan G, Cliffe A, Coffin J, Collins K, Damania B, Daugherty M, Debbink K, DeCaprio J, Dermody T, Dikeakos J, DiMaio D, Dinglasan R, Duprex WP, Dutch R, Elde N, Emerman M, Enquist L, Fane B, Fernandez-Sesma A, Flenniken M, Frappier L, Frieman M, Frueh K, Gack M, Gaglia M, Gallagher T, Galloway D, García-Sastre A, Geballe A, Glaunsinger B, Goff S, Greninger A, Hancock M, Harris E, Heaton N, Heise M, Heldwein E, Hogue B, Horner S, Hutchinson E, Hyser J, Jackson W, Kalejta R, Kamil J, Karst S, Kirchhoff F, Knipe D, Kowalik T, Lagunoff M, Laimins L, Langlois R, Lauring A, Lee B, Leib D, Liu SL, Longnecker R, Lopez C, Luftig M, Lund J, Manicassamy B, McFadden G, McIntosh M, Mehle A, Miller WA, Mohr I, Moody C, Moorman N, Moscona A, Mounce B, Munger J, Münger K, Murphy E, Naghavi M, Nelson J, Neufeldt C, Nikolich J, O'Connor C, et al.","mSphere. 2023 Apr 20;8(2):e0003423. doi: 10.1128/msphere.00034-23. Epub 2023 Jan 26.","Goodrum F","mSphere","2023","2023/01/26","PMC10117089","","10.1128/msphere.00034-23"
"36977797","Circulating and urinary tumour DNA in urothelial carcinoma - upper tract, lower tract and metastatic disease","Rose KM, Huelster HL, Meeks JJ, Faltas BM, Sonpavde GP, Lerner SP, Ross JS, Spiess PE, Grass GD, Jain RK, Kamat AM, Vosoughi A, Wang L, Wang X, Li R.","Nat Rev Urol. 2023 Jul;20(7):406-419. doi: 10.1038/s41585-023-00725-2. Epub 2023 Mar 28.","Rose KM","Nat Rev Urol","2023","2023/03/28","","","10.1038/s41585-023-00725-2"
"25905360","Hypoglycemia","Desimone ME, Weinstock RS.","2018 May 5. In: Feingold KR, Anawalt B, Blackman MR, Boyce A, Chrousos G, Corpas E, de Herder WW, Dhatariya K, Dungan K, Hofland J, Kalra S, Kaltsas G, Kapoor N, Koch C, Kopp P, Korbonits M, Kovacs CS, Kuohung W, Laferrère B, Levy M, McGee EA, McLachlan R, New M, Purnell J, Sahay R, Shah AS, Singer F, Sperling MA, Stratakis CA, Trence DL, Wilson DP, editors. Endotext [Internet]. South Dartmouth (MA): MDText.com, Inc.; 2000–.","Desimone ME","Endotext","2000","2018/05/05","","",""
"25905219","Pancreatic Islet Function Tests","Katta S, Desimone ME, Weinstock RS.","2021 Mar 16. In: Feingold KR, Anawalt B, Blackman MR, Boyce A, Chrousos G, Corpas E, de Herder WW, Dhatariya K, Dungan K, Hofland J, Kalra S, Kaltsas G, Kapoor N, Koch C, Kopp P, Korbonits M, Kovacs CS, Kuohung W, Laferrère B, Levy M, McGee EA, McLachlan R, New M, Purnell J, Sahay R, Shah AS, Singer F, Sperling MA, Stratakis CA, Trence DL, Wilson DP, editors. Endotext [Internet]. South Dartmouth (MA): MDText.com, Inc.; 2000–.","Katta S","Endotext","2000","2021/03/16","","",""
"30775438","The gut microbiome from patients with schizophrenia modulates the glutamate-glutamine-GABA cycle and schizophrenia-relevant behaviors in mice","Zheng P, Zeng B, Liu M, Chen J, Pan J, Han Y, Liu Y, Cheng K, Zhou C, Wang H, Zhou X, Gui S, Perry SW, Wong ML, Licinio J, Wei H, Xie P.","Sci Adv. 2019 Feb 6;5(2):eaau8317. doi: 10.1126/sciadv.aau8317. eCollection 2019 Feb.","Zheng P","Sci Adv","2019","2019/02/19","PMC6365110","","10.1126/sciadv.aau8317"
"36696101","Lipid Alteration Signature in the Blood Plasma of Individuals With Schizophrenia, Depression, and Bipolar Disorder","Tkachev A, Stekolshchikova E, Vanyushkina A, Zhang H, Morozova A, Zozulya S, Kurochkin I, Anikanov N, Egorova A, Yushina E, Vogl T, Senner F, Schaupp SK, Reich-Erkelenz D, Papiol S, Kohshour MO, Klöhn-Saghatolislam F, Kalman JL, Heilbronner U, Heilbronner M, Gade K, Comes AL, Budde M, Anderson-Schmidt H, Adorjan K, Wiltfang J, Reininghaus EZ, Juckel G, Dannlowski U, Fallgatter A, Spitzer C, Schmauß M, von Hagen M, Zorkina Y, Reznik A, Barkhatova A, Lisov R, Mokrov N, Panov M, Zubkov D, Petrova D, Zhou C, Liu Y, Pu J, Falkai P, Kostyuk G, Klyushnik T, Schulze TG, Xie P, Schulte EC, Khaitovich P.","JAMA Psychiatry. 2023 Mar 1;80(3):250-259. doi: 10.1001/jamapsychiatry.2022.4350.","Tkachev A","JAMA Psychiatry","2023","2023/01/25","PMC9878436","","10.1001/jamapsychiatry.2022.4350"
"28219628","Subcortical brain volume differences in participants with attention deficit hyperactivity disorder in children and adults: a cross-sectional mega-analysis","Hoogman M, Bralten J, Hibar DP, Mennes M, Zwiers MP, Schweren LSJ, van Hulzen KJE, Medland SE, Shumskaya E, Jahanshad N, Zeeuw P, Szekely E, Sudre G, Wolfers T, Onnink AMH, Dammers JT, Mostert JC, Vives-Gilabert Y, Kohls G, Oberwelland E, Seitz J, Schulte-Rüther M, Ambrosino S, Doyle AE, Høvik MF, Dramsdahl M, Tamm L, van Erp TGM, Dale A, Schork A, Conzelmann A, Zierhut K, Baur R, McCarthy H, Yoncheva YN, Cubillo A, Chantiluke K, Mehta MA, Paloyelis Y, Hohmann S, Baumeister S, Bramati I, Mattos P, Tovar-Moll F, Douglas P, Banaschewski T, Brandeis D, Kuntsi J, Asherson P, Rubia K, Kelly C, Martino AD, Milham MP, Castellanos FX, Frodl T, Zentis M, Lesch KP, Reif A, Pauli P, Jernigan TL, Haavik J, Plessen KJ, Lundervold AJ, Hugdahl K, Seidman LJ, Biederman J, Rommelse N, Heslenfeld DJ, Hartman CA, Hoekstra PJ, Oosterlaan J, Polier GV, Konrad K, Vilarroya O, Ramos-Quiroga JA, Soliva JC, Durston S, Buitelaar JK, Faraone SV, Shaw P, Thompson PM, Franke B.","Lancet Psychiatry. 2017 Apr;4(4):310-319. doi: 10.1016/S2215-0366(17)30049-4. Epub 2017 Feb 16.","Hoogman M","Lancet Psychiatry","2017","2017/02/22","PMC5933934","NIHMS854669","10.1016/S2215-0366(17)30049-4"
"33268356","Histone H3.3 beyond cancer: Germline mutations in Histone 3 Family 3A and 3B cause a previously unidentified neurodegenerative disorder in 46 patients","Bryant L, Li D, Cox SG, Marchione D, Joiner EF, Wilson K, Janssen K, Lee P, March ME, Nair D, Sherr E, Fregeau B, Wierenga KJ, Wadley A, Mancini GMS, Powell-Hamilton N, van de Kamp J, Grebe T, Dean J, Ross A, Crawford HP, Powis Z, Cho MT, Willing MC, Manwaring L, Schot R, Nava C, Afenjar A, Lessel D, Wagner M, Klopstock T, Winkelmann J, Catarino CB, Retterer K, Schuette JL, Innis JW, Pizzino A, Lüttgen S, Denecke J, Strom TM, Monaghan KG; DDD Study; Yuan ZF, Dubbs H, Bend R, Lee JA, Lyons MJ, Hoefele J, Günthner R, Reutter H, Keren B, Radtke K, Sherbini O, Mrokse C, Helbig KL, Odent S, Cogne B, Mercier S, Bezieau S, Besnard T, Kury S, Redon R, Reinson K, Wojcik MH, Õunap K, Ilves P, Innes AM, Kernohan KD; Care4Rare Canada Consortium; Costain G, Meyn MS, Chitayat D, Zackai E, Lehman A, Kitson H; CAUSES Study; Martin MG, Martinez-Agosto JA; Undiagnosed Diseases Network; Nelson SF, Palmer CGS, Papp JC, Parker NH, Sinsheimer JS, Vilain E, Wan J, Yoon AJ, Zheng A, Brimble E, Ferrero GB, Radio FC, Carli D, Barresi S, Brusco A, Tartaglia M, Thomas JM, Umana L, Weiss MM, Gotway G, Stuurman KE, et al.","Sci Adv. 2020 Dec 2;6(49):eabc9207. doi: 10.1126/sciadv.abc9207. Print 2020 Dec.","Bryant L","Sci Adv","2020","2020/12/03","PMC7821880","","10.1126/sciadv.abc9207"
"32636358","Designing m-Health interventions for precision mental health support","Bidargaddi N, Schrader G, Klasnja P, Licinio J, Murphy S.","Transl Psychiatry. 2020 Jul 7;10(1):222. doi: 10.1038/s41398-020-00895-2.","Bidargaddi N","Transl Psychiatry","2020","2020/07/09","PMC7341865","","10.1038/s41398-020-00895-2"
"28969442","Psychiatric Genomics: An Update and an Agenda","Sullivan PF, Agrawal A, Bulik CM, Andreassen OA, Børglum AD, Breen G, Cichon S, Edenberg HJ, Faraone SV, Gelernter J, Mathews CA, Nievergelt CM, Smoller JW, O'Donovan MC; Psychiatric Genomics Consortium.","Am J Psychiatry. 2018 Jan 1;175(1):15-27. doi: 10.1176/appi.ajp.2017.17030283. Epub 2017 Oct 3.","Sullivan PF","Am J Psychiatry","2018","2017/10/04","PMC5756100","NIHMS888920","10.1176/appi.ajp.2017.17030283"
"37861755","Climate change and mental health: a commentary","Licinio J, Wong ML.","Discov Ment Health. 2021 Sep 23;1(1):1. doi: 10.1007/s44192-021-00001-y.","Licinio J","Discov Ment Health","2021","2023/10/20","PMC10498147","","10.1007/s44192-021-00001-y"
"35580292","Artificial Intelligence in Kidney Cancer","Rasmussen R, Sanford T, Parwani AV, Pedrosa I.","Am Soc Clin Oncol Educ Book. 2022 Apr;42:1-11. doi: 10.1200/EDBK_350862.","Rasmussen R","Am Soc Clin Oncol Educ Book","2022","2022/05/17","","","10.1200/EDBK_350862"
"35602491","Editorial: Clinical Application of Artificial Intelligence in Emergency and Critical Care Medicine, Volume II","Zhang Z, Kashyap R, Liu N, Su L, Meng Q.","Front Med (Lausanne). 2022 May 6;9:910163. doi: 10.3389/fmed.2022.910163. eCollection 2022.","Zhang Z","Front Med (Lausanne)","2022","2022/05/23","PMC9121731","","10.3389/fmed.2022.910163"
"36600889","Editorial: Clinical application of artificial intelligence in emergency and critical care medicine, volume III","Zhang Z, Kashyap R, Su L, Meng Q.","Front Med (Lausanne). 2022 Dec 19;9:1075023. doi: 10.3389/fmed.2022.1075023. eCollection 2022.","Zhang Z","Front Med (Lausanne)","2022","2023/01/05","PMC9806846","","10.3389/fmed.2022.1075023"
"34055839","Artificial Intelligence for Clinical Decision Support in Sepsis","Wu M, Du X, Gu R, Wei J.","Front Med (Lausanne). 2021 May 13;8:665464. doi: 10.3389/fmed.2021.665464. eCollection 2021.","Wu M","Front Med (Lausanne)","2021","2021/05/31","PMC8155362","","10.3389/fmed.2021.665464"
"36474001","Microglia-containing human brain organoids for the study of brain development and pathology","Zhang W, Jiang J, Xu Z, Yan H, Tang B, Liu C, Chen C, Meng Q.","Mol Psychiatry. 2023 Jan;28(1):96-107. doi: 10.1038/s41380-022-01892-1. Epub 2022 Dec 6.","Zhang W","Mol Psychiatry","2023","2022/12/06","PMC9734443","","10.1038/s41380-022-01892-1"
"35567418","Patient and procedure selection for mechanical thrombectomy: Toward personalized medicine and the role of artificial intelligence","Al Saiegh F, Munoz A, Velagapudi L, Theofanis T, Suryadevara N, Patel P, Jabre R, Chen CJ, Shehabeldin M, Gooch MR, Jabbour P, Tjoumakaris S, Rosenwasser RH, Herial NA.","J Neuroimaging. 2022 Sep;32(5):798-807. doi: 10.1111/jon.13003. Epub 2022 May 14.","Al Saiegh F","J Neuroimaging","2022","2022/05/14","","","10.1111/jon.13003"
"29309283","HIV Infection: Antepartum Treatment and Management","Bernstein HB, Wegman AD.","Clin Obstet Gynecol. 2018 Mar;61(1):122-136. doi: 10.1097/GRF.0000000000000330.","Bernstein HB","Clin Obstet Gynecol","2018","2018/01/09","","","10.1097/GRF.0000000000000330"
"25909217","Targeting Hsp90 in urothelial carcinoma","Chehab M, Caza T, Skotnicki K, Landas S, Bratslavsky G, Mollapour M, Bourboulia D.","Oncotarget. 2015 Apr 20;6(11):8454-73. doi: 10.18632/oncotarget.3502.","Chehab M","Oncotarget","2015","2015/04/25","PMC4496161","","10.18632/oncotarget.3502"
"34938754","Editorial: Clinical Application of Artificial Intelligence in Emergency and Critical Care Medicine, Volume I","Zhang Z, Liu N, Meng Q, Su L.","Front Med (Lausanne). 2021 Dec 6;8:809478. doi: 10.3389/fmed.2021.809478. eCollection 2021.","Zhang Z","Front Med (Lausanne)","2021","2021/12/23","PMC8685312","","10.3389/fmed.2021.809478"
"29931654","Precision Neuro-oncology: the Role of Genomic Testing in the Management of Adult and Pediatric Gliomas","Ramkissoon LA, Britt N, Guevara A, Whitt E, Severson E, Sathyan P, Gay L, Elvin J, Ross JS, Brown C, Stogner-Underwood K, Mott R, Kram D, Strowd R, Lesser GJ, Ramkissoon SH.","Curr Treat Options Oncol. 2018 Jun 21;19(8):41. doi: 10.1007/s11864-018-0559-4.","Ramkissoon LA","Curr Treat Options Oncol","2018","2018/06/23","","","10.1007/s11864-018-0559-4"
